,taxon,taxon.id,P25,WS64,WhitmoreFull,WhitmoreSmall,Broad,STEPPS,type,cf
876,Artemisia rupestris,3873,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
877,Artemisia sacrorum,5706,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
878,Artemisia sensu lato,3877,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,TRUE,NA
879,Artemisia sensu stricto,3876,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
880,Artemisia tanacetifolia,5708,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
881,Artemisia tilesii,5709,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
882,Artemisia tridentata,9592,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
883,Artemisia tridentata-type,23864,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
884,Artemisia undiff.,3620,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
885,Artemisia vulgaris,3878,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
886,Artemisia vulgaris-type,3563,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
887,Artemisia/Gochnatia,1960,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
888,Artemisia-type,1602,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
273,Agoseris,21542,Prairie Forbs,Asteraceae,ASTERCICHO,ASTERX,ASTERCICHO,NA,NA,NA
274,Agoseris glauca-type,9582,Prairie Forbs,Asteraceae,ASTERCICHO,ASTERX,ASTERCICHO,NA,NA,NA
1000,Asteraceae subf. Cichorioideae,160,Prairie Forbs,Asteraceae,ASTERCICHO,ASTERX,ASTERCICHO,NA,NA,NA
1001,Asteraceae subf. Cichorioideae cf. Taraxacum,4869,Prairie Forbs,Asteraceae,ASTERCICHO,ASTERX,ASTERCICHO,NA,NA,NA
1002,Asteraceae subf. Cichorioideae undiff.,3035,Prairie Forbs,Asteraceae,ASTERCICHO,ASTERX,ASTERCICHO,NA,NA,NA
1003,Asteraceae subf. Liguliflorae,15459,Prairie Forbs,Asteraceae,ASTERCICHO,ASTERX,ASTERLIGU,NA,NA,NA
